totcper	totcinc	food	alta	age	dcoast	dmiddle	dwest
3836.8	4789.0	1401.1	  39.0	46.5	1	0	0
3168.7	3586.0	1175.7	  91.0	50.0	1	0	0
3728.0	3693.7	1024.7	  50.0	36.0	1	0	0
3557.6	2793.0	1107.9	   0.0	49.0	1	0	0
4306.8	3532.8	1207.3	 100.0	52.5	1	0	0
4557.7	3726.7	1832.3	 102.0	36.0	1	0	0
3036.5	2185.3	 592.8	  29.5	44.0	1	0	0
5871.7	4383.6	1217.1	 142.4	58.0	1	0	0
2777.7	1724.0	1274.0	  45.3	28.5	1	0	0
2518.0	4126.0	1088.3	  88.0	59.0	1	0	0
7562.0	1284.7	1105.7	  96.3	26.5	1	0	0
1688.0	1921.4	 918.6	  24.0	37.5	1	0	0
5181.5	5100.8	1390.5	 125.0	48.0	1	0	0
14563.2	13663.3	1736.2	 166.7	39.0	1	0	0
4062.1	3863.0	1739.4	 100.0	39.5	1	0	0
3518.7	4288.3	1464.3	  83.3	55.0	1	0	0
4679.0	3870.2	1306.0	   0.0	42.0	1	0	0
5370.8	1681.3	1685.8	  66.7	56.0	1	0	0
2243.7	2219.0	 765.3	  37.0	49.5	1	0	0
1743.0	4641.5	1261.0	  77.5	65.5	1	0	0
1553.8	1481.7	1047.3	   0.0	43.0	1	0	0
3316.8	3321.2	 884.8	  10.7	46.0	1	0	0
4956.0	4406.7	1043.7	  82.7	34.5	1	0	0
3632.0	3665.7	1051.3	  87.3	35.5	1	0	0
4557.0	5216.3	1025.3	  71.3	57.0	1	0	0
3876.7	3745.3	1110.3	  61.0	33.5	1	0	0
3321.0	2915.0	1383.0	 166.8	51.0	1	0	0
6005.5	4222.0	2946.0	 273.0	51.5	1	0	0
3698.0	4010.3	1001.7	   0.0	39.0	1	0	0
3638.4	2563.0	 797.4	   7.2	52.5	1	0	0
6188.3	1596.7	1324.3	  75.3	50.0	1	0	0
10016.3	7256.7	1701.3	  39.7	33.0	1	0	0
8073.7	6535.0	1819.0	 360.3	40.0	1	0	0
3448.2	3796.7	1443.2	  44.3	40.0	1	0	0
4879.5	1544.0	1087.8	  35.0	31.5	1	0	0
5696.8	6688.7	 868.1	  82.7	27.0	1	0	0
2865.3	2623.2	1101.0	 126.0	48.0	1	0	0
3076.9	3355.7	 909.5	  24.0	31.0	1	0	0
8145.2	3993.8	1421.0	 305.8	45.0	1	0	0
3266.1	2048.2	1289.9	 372.5	50.5	1	0	0
1535.4	1467.0	 851.4	 109.0	46.0	1	0	0
2559.7	2543.0	1769.0	 283.7	38.0	1	0	0
2764.2	2526.0	1056.4	   5.5	37.5	1	0	0
4139.0	3245.8	1214.3	  15.5	50.0	1	0	0
1255.7	5253.0	 906.7	  26.5	51.5	1	0	0
2834.1	1551.0	 792.1	 165.0	55.0	1	0	0
4240.8	3122.2	1069.5	  93.0	40.5	1	0	0
1385.4	2358.5	 527.6	   0.0	29.0	1	0	0
1067.6	1244.0	 847.3	  13.0	72.5	1	0	0
1446.1	1575.8	 722.6	   0.0	35.0	1	0	0
3783.3	3866.0	1592.6	  69.7	38.5	1	0	0
2843.0	4935.3	1474.2	  85.7	44.0	1	0	0
4643.1	3078.3	1533.6	 450.7	36.0	1	0	0
4176.0	2530.0	 874.5	  37.5	46.0	1	0	0
4172.5	4477.3	2181.5	 371.7	50.5	1	0	0
1894.1	1502.2	 799.9	  94.4	44.0	1	0	0
1823.4	2005.0	 822.1	  43.8	50.5	1	0	0
2707.5	2694.0	1763.8	  32.3	44.0	1	0	0
4200.2	4543.7	1590.8	 144.0	50.5	1	0	0
7268.7	6696.7	1990.7	   0.0	52.5	1	0	0
8920.3	6266.7	1604.0	   0.0	48.5	1	0	0
5864.7	4587.7	1447.0	   0.0	40.5	1	0	0
10243.3	7680.3	1736.3	   0.0	33.0	1	0	0
2864.3	3731.5	1602.3	  91.5	43.0	1	0	0
3867.7	3837.5	1902.5	  78.0	35.5	1	0	0
17097.7	12822.7	5653.7	1058.3	51.5	1	0	0
5855.7	6032.5	2463.5	 516.5	42.5	1	0	0
5834.3	10499.3	2482.0	  85.0	55.5	1	0	0
5040.7	5252.7	1297.0	  38.3	51.0	1	0	0
1836.8	1792.0	 914.0	  40.0	37.0	1	0	0
3601.0	3549.7	 938.0	   0.0	36.0	1	0	0
2582.3	1787.7	 689.5	   0.0	47.0	1	0	0
3064.5	2430.5	1071.7	  61.7	43.0	1	0	0
4669.5	4523.0	1106.0	 152.8	48.0	1	0	0
4195.0	2643.7	1084.5	  31.0	45.0	1	0	0
3023.5	2997.5	 911.3	  11.5	46.0	1	0	0
1015.3	1164.7	 917.7	  13.3	28.5	0	1	0
 673.0	 873.5	 290.7	  19.3	29.5	0	1	0
 565.4	 945.3	 300.7	  25.7	28.0	0	1	0
 475.2	1703.6	 134.2	   3.6	44.5	0	1	0
 755.2	2414.0	 288.2	  12.4	51.5	0	1	0
1242.2	 887.2	 596.4	  19.0	33.5	0	1	0
 915.5	1080.3	 710.0	  14.0	27.0	0	1	0
1035.0	1836.8	 577.3	  13.5	40.0	0	1	0
2117.4	4414.0	 664.2	  25.8	39.5	0	1	0
1679.8	2207.3	 983.1	  41.7	53.0	0	1	0
3868.2	2173.7	1145.5	  16.3	51.0	0	1	0
1814.1	2443.0	 870.4	  14.2	42.0	0	1	0
1755.9	1304.3	1150.6	  32.3	24.5	0	1	0
1515.0	1368.0	 941.8	  21.6	31.5	0	1	0
4409.0	 853.3	1375.7	 141.7	34.5	0	1	0
1299.5	1117.7	 925.0	  17.5	37.0	0	1	0
1683.3	1249.8	1154.1	  40.5	28.5	0	1	0
2656.0	1717.6	1403.4	  73.8	48.5	0	1	0
1266.0	1487.0	 958.0	  21.3	29.5	0	1	0
5210.0	2248.2	4973.7	   7.7	36.0	0	1	0
1767.0	2357.0	 715.0	   3.5	28.5	0	1	0
1475.8	2158.3	 585.0	   9.3	40.5	0	1	0
1795.0	2287.5	 613.5	  62.3	40.0	0	1	0
1561.2	1911.2	 590.0	  21.5	50.0	0	1	0
1315.7	2166.5	 636.2	  36.7	40.5	0	1	0
1559.1	2135.2	 765.1	   4.0	41.0	0	1	0
1382.2	2283.6	 725.8	  14.6	42.0	0	1	0
1497.7	1414.6	 795.1	  24.8	42.5	0	1	0
1163.6	1543.6	 623.0	  41.6	46.0	0	1	0
1029.1	1765.0	 706.1	  34.0	44.0	0	1	0
1667.8	1283.7	1332.3	  20.7	40.0	0	1	0
1258.8	1960.0	 724.3	  32.8	38.0	0	1	0
1016.9	1025.1	 614.2	   9.9	42.5	0	1	0
1780.7	2389.5	 674.0	   5.8	42.5	0	1	0
2525.5	1782.5	 736.0	  47.0	39.5	0	1	0
2080.6	2193.6	 807.2	   3.0	41.5	0	1	0
2786.0	2277.0	 886.0	  57.3	49.5	0	1	0
2434.0	2165.0	 696.0	  50.0	43.0	0	1	0
4297.8	2876.0	1110.5	  24.3	55.5	0	1	0
4293.2	2412.0	1015.2	  48.5	50.0	0	1	0
2516.9	2412.2	1292.9	  24.3	36.0	0	1	0
1526.2	1570.5	 820.2	  23.5	51.0	0	1	0
3217.0	2198.6	 954.2	  12.6	35.5	0	1	0
1665.2	2552.5	 889.5	   6.7	33.0	0	1	0
2592.2	1969.0	 896.7	   3.5	50.0	0	1	0
2426.0	2266.5	1207.5	  53.7	35.0	0	1	0
2172.8	2280.2	1004.5	   0.0	38.0	0	1	0
1978.5	2148.3	 762.3	   6.3	46.0	0	1	0
1273.3	2194.8	1134.8	  11.5	39.5	0	1	0
 915.0	1935.7	 705.7	  38.0	27.0	0	1	0
 796.8	1832.0	 618.2	  13.2	30.0	0	1	0
1856.0	2291.0	 855.3	  62.5	44.5	0	1	0
2286.6	1708.6	 675.4	  19.4	32.0	0	1	0
1000.4	2277.6	 568.4	   5.6	46.0	0	1	0
2879.8	2221.0	1791.8	  16.5	49.0	0	1	0
1781.8	2076.5	 892.3	   3.8	40.5	0	1	0
2590.4	2438.4	1015.0	  31.2	47.0	0	1	0
2570.6	3094.0	1278.6	  15.7	42.0	0	1	0
12760.7	3257.7	1079.0	  95.0	44.5	0	1	0
1519.0	2991.7	 788.5	  20.8	44.5	0	1	0
 779.8	2151.8	 501.3	   5.0	37.0	0	1	0
1335.0	2451.5	 568.8	  10.5	35.0	0	1	0
1308.3	2686.8	 878.0	  28.0	53.0	0	1	0
1504.3	2326.0	 701.0	  24.3	41.0	0	1	0
1272.0	2268.3	 586.5	  11.2	42.5	0	1	0
1289.0	2642.4	 710.4	   0.0	42.0	0	1	0
1264.8	1477.8	 725.3	   0.0	35.0	0	1	0
4643.3	2610.8	 860.5	   0.0	31.5	0	1	0
 975.4	 901.2	 584.2	  12.5	30.5	0	1	0
